eventName,date,#tweets,group,LSH,TransDetector,Twevent,EDCoW,BurstyBTM,TimeUserLDA
S&P downgrade US credit rating,05/08/11,656,>200,1,1,1,1,1,1
Atlantis shuttle lands,21/07/11,595,>200,1,1,1,1,1,1
US increases debt ceiling,25/07/11,485,>200,1,1,1,1,1,1
Plane with Russian hocky team Lokomotiv crashes,07/09/11,286,>200,1,1,1,0,1,0
Amy Winehouse dies,23/07/11,283,>200,1,1,1,1,1,1
Gunman opens fire in youth camp in Norway,23/07/11,260,>200,1,1,1,1,1,1
Earthquake in Virginia,24/08/11,246,>200,1,1,1,0,1,1
First victim of London riots dies,09/08/11,174,"(100,200]",0,1,0,1,1,1
Explosion in French nuclear plant in Marcoule,12/09/11,135,"(100,200]",1,1,1,1,1,1
Google announces plans to bury Motorola Mobility,15/08/11,127,"(100,200]",1,1,1,0,1,0
NASA announces there might be water on Mars,04/08/11,124,"(100,200]",1,1,1,0,1,0
"Car bomb explodes in Oslo, Norway",22/07/11,114,"(100,200]",1,1,1,1,1,1
"riots break out in tottenham, england",06/08/11,97,"(50,100]",0,1,1,1,1,1
Famine declared in Somalia,20/07/11,89,"(50,100]",1,1,1,1,1,0
Terrorist attack in Delhi,05/09/11,72,"(50,100]",1,1,1,1,1,0
Petrol pipeline explodes in Kenya,12/09/11,56,"(50,100]",1,1,1,0,0,0
ferry sinks in zanzibar,10/09/11,41,"[0,50]",1,1,1,1,0,0
south sudan becomes un member state,14/07/11,33,"[0,50]",1,1,1,1,1,0
South Sudan becomes independent country,11/07/11,33,"[0,50]",1,1,1,1,1,0
Betty Ford dies,11/07/11,28,"[0,50]",0,0,0,0,0,0
War criminal Goran hadzic arrested,20/07/11,27,"[0,50]",0,1,0,1,0,0
Richard Bowes killed in riots in England,11/08/11,27,"[0,50]",0,1,0,0,1,0
Indian and Bangladesh sign a border pact,06/09/11,25,"[0,50]",1,0,1,0,0,0
Flight 4896 crash,13/07/11,21,"[0,50]",1,1,1,0,0,0
First aritficial organ transplant,12/07/11,18,"[0,50]",0,1,0,0,0,0
three men die in riots in england,10/08/11,16,"[0,50]",0,0,0,0,0,0
rebels capture interational tripoli airport,21/08/11,13,"[0,50]",0,1,0,0,0,0
