,topic,model,group,npmiscore
0,58,Topics learned by LightLDA,0.0,0.10344
1,58,Topics learned by LightLDA,1.0,0.04929
2,58,Topics learned by LightLDA,2.0,0.04162
3,58,Topics learned by LightLDA,3.0,-0.03117
4,58,Topics learned by LightLDA,4.0,0.0168
5,58,Topics learned by LightLDA,5.0,0.00921
6,58,Topics learned by LightLDA,6.0,-0.02445
7,58,Topics learned by LightLDA,7.0,0.03172
8,58,Topics learned by LightLDA,8.0,0.03654
9,58,Topics learned by LightLDA,9.0,0.00693
10,58,Topics learned by LightLDA,10.0,0.05419
11,58,Topics learned by LightLDA,11.0,0.0439
12,58,Topics learned by LightLDA,12.0,-0.0024
13,58,Topics learned by LightLDA,13.0,-0.01974
14,58,Topics learned by LightLDA,14.0,-0.075
15,58,Topics learned by LightLDA,15.0,-0.00403
16,58,Topics learned by LightLDA,16.0,-0.03495
17,58,Topics learned by LightLDA,17.0,0.01877
18,58,Topics learned by LightLDA,18.0,-0.06235
19,58,Topics learned by LightLDA,19.0,-0.03254
20,58,Topics learned by LightLDA,20.0,0.0151
21,58,Topics learned by LightLDA,21.0,0.03688
22,58,Topics learned by LightLDA,22.0,0.0411
23,58,Topics learned by LightLDA,23.0,0.02971
24,58,Topics learned by LightLDA,24.0,-0.00204
25,58,Topics learned by LightLDA,25.0,-0.05222
26,58,Topics learned by LightLDA,26.0,-0.02117
27,58,Topics learned by LightLDA,27.0,-0.00832
28,58,Topics learned by LightLDA,28.0,-0.03187
29,58,Topics learned by LightLDA,29.0,-0.01799
30,58,Topics learned by LightLDA,30.0,-0.06262
31,58,Topics learned by LightLDA,31.0,-0.05637
32,58,Topics learned by LightLDA,32.0,-0.02729
33,58,Topics learned by LightLDA,33.0,-0.03896
34,58,Topics learned by LightLDA,34.0,0.0124
35,58,Topics learned by LightLDA,35.0,-0.06624
36,58,Topics learned by LightLDA,36.0,-0.05495
37,58,Topics learned by LightLDA,37.0,-0.03341
38,58,Topics learned by LightLDA,38.0,0.04156
39,58,Topics learned by LightLDA,39.0,0.00394
40,58,Topics learned by LightLDA,40.0,-0.02473
41,58,Topics learned by LightLDA,41.0,-0.01278
42,58,Topics learned by LightLDA,42.0,0.03519
43,58,Topics learned by LightLDA,43.0,0.02297
44,58,Topics learned by LightLDA,44.0,-0.04409
45,58,Topics learned by LightLDA,45.0,-0.00088
46,58,Topics learned by LightLDA,46.0,-0.0101
47,58,Topics learned by LightLDA,47.0,0.00544
48,58,Topics learned by LightLDA,48.0,-0.03372
49,58,Topics learned by LightLDA,49.0,-0.0052
50,58,Topics learned by LightLDA,50.0,-0.07565
51,58,Topics learned by LightLDA,51.0,-0.02811
52,58,Topics learned by LightLDA,52.0,-0.01456
53,58,Topics learned by LightLDA,53.0,-0.04326
54,58,Topics learned by LightLDA,54.0,0.00768
55,58,Topics learned by LightLDA,55.0,0.00585
56,58,Topics learned by LightLDA,56.0,0.0279
57,58,Topics learned by LightLDA,57.0,-0.01522
58,58,Topics learned by LightLDA,58.0,0.02065
59,58,Topics learned by LightLDA,59.0,0.01207
60,58,Topics learned by LightLDA,60.0,0.0143
61,58,Topics learned by LightLDA,61.0,-0.044
62,58,Topics learned by LightLDA,62.0,-0.04827
63,58,Topics learned by LightLDA,63.0,-0.01047
64,58,Topics learned by LightLDA,64.0,-0.05903
65,58,Topics learned by LightLDA,65.0,-0.03796
66,58,Topics learned by LightLDA,66.0,0.00828
67,58,Topics learned by LightLDA,67.0,-0.02942
68,58,Topics learned by LightLDA,68.0,-0.01947
69,58,Topics learned by LightLDA,69.0,-0.07407
70,58,Topics learned by LightLDA,70.0,-0.01019
71,58,Topics learned by LightLDA,71.0,0.00342
72,58,Topics learned by LightLDA,72.0,-0.00078
73,58,Topics learned by LightLDA,73.0,-0.00561
74,58,Topics learned by LightLDA,74.0,-0.01744
75,58,Topics learned by LightLDA,75.0,-0.01285
76,58,Topics learned by LightLDA,76.0,-0.02468
77,58,Topics learned by LightLDA,77.0,0.00059
78,58,Topics learned by LightLDA,78.0,-0.05845
79,58,Topics learned by LightLDA,79.0,-0.07617
80,58,Topics learned by LightLDA,80.0,-0.03462
81,58,Topics learned by LightLDA,81.0,-0.03208
82,58,Topics learned by LightLDA,82.0,-0.00782
83,58,Topics learned by LightLDA,83.0,-0.04674
84,58,Topics learned by LightLDA,84.0,-0.09054
85,58,Topics learned by LightLDA,85.0,-0.01019
86,58,Topics learned by LightLDA,86.0,-0.03824
87,58,Topics learned by LightLDA,87.0,-0.01929
88,58,Topics learned by LightLDA,88.0,-0.00802
89,58,Topics learned by LightLDA,89.0,-0.01302
90,58,Topics learned by LightLDA,90.0,-0.01559
91,58,Topics learned by LightLDA,91.0,-0.0036
92,58,Topics learned by LightLDA,92.0,-0.05562
